"","Date","TotalPrice","Guests","Weekday","Month","Season","Year","Day","Liveaboard","Resort","GuestLive","GuestResort","WSpeed"
"67",2012-11-03,30967.672314578,151,"Saturday","November","High","2012",363,6,6,91,72,5.4118247
"68",2012-11-04,18705.6881074169,123,"Sunday","November","High","2012",364,6,6,62,73,7.04343
"69",2012-11-05,9289.88235294118,47,"Monday","November","High","2012",365,2,2,34,17,6.9258294
"70",2012-11-06,41620.4325234442,241,"Tuesday","November","High","2012",366,9,7,91,166,5.4784203
"71",2012-11-07,29178.8974211424,156,"Wednesday","November","High","2012",367,6,8,81,89,5.044516
"72",2012-11-08,11436.3043478261,62,"Thursday","November","High","2012",368,1,1,26,38,4.0084763
"73",2012-11-11,59231.1976768968,321,"Sunday","November","High","2012",371,7,11,155,184,3.6603556
"74",2012-11-12,93964.7318414322,503,"Monday","November","High","2012",372,14,9,322,204,8.195868
"75",2012-11-13,130332.58041347,530,"Tuesday","November","High","2012",373,21,10,411,150,6.670659
"76",2012-11-14,78939.862254902,303,"Wednesday","November","High","2012",374,12,11,218,108,4.2982435
"77",2012-11-15,50999.463086104,191,"Thursday","November","High","2012",375,12,6,145,64,2.7248096
"78",2012-11-19,49748.6833333333,290,"Monday","November","High","2012",379,6,11,91,216,1.6902676
"79",2012-11-20,116501.661040068,485,"Tuesday","November","High","2012",380,27,6,403,115,2.8633087
"80",2012-11-21,53080.4731457801,323,"Wednesday","November","High","2012",381,9,12,165,179,3.5587914
"81",2012-11-24,41820.8958226769,269,"Saturday","November","High","2012",384,5,11,96,189,3.1157563
"82",2012-11-25,41341.5412404092,231,"Sunday","November","High","2012",385,4,12,71,176,1.6370779
"83",2012-11-26,62449.6333333333,322,"Monday","November","High","2012",386,10,9,190,151,1.5597522
"84",2012-11-27,63565.9014705882,309,"Tuesday","November","High","2012",387,9,7,229,96,1.9264348
"85",2012-11-28,69694.4381926684,340,"Wednesday","November","High","2012",388,10,9,134,225,3.2349358
"86",2012-11-29,39254.3200767263,243,"Thursday","November","High","2012",389,10,8,132,129,5.906214
"87",2012-12-02,18267.5916666667,117,"Sunday","December","High","2012",392,2,5,24,100,0.9447204
"88",2012-12-03,65227.937254902,262,"Monday","December","High","2012",393,9,0,271,0,0.88133025
"89",2012-12-04,65640.7985933504,265,"Tuesday","December","High","2012",394,4,7,164,112,1.4509076
"90",2012-12-05,49129.7191176471,265,"Wednesday","December","High","2012",395,7,9,97,184,2.4983253
"91",2012-12-06,71166.3934782609,324,"Thursday","December","High","2012",396,7,8,205,134,2.3656294
"92",2012-12-09,37378.1227834612,284,"Sunday","December","High","2012",399,1,13,12,286,4.2143254
"93",2012-12-10,58625,359,"Monday","December","High","2012",400,4,13,109,267,4.200673
"94",2012-12-11,3580,43,"Tuesday","December","High","2012",401,1,1,6,39,5.6757226
"95",2012-12-12,28865.7826086957,241,"Wednesday","December","High","2012",402,3,11,21,234,5.7072816
"96",2012-12-13,78006.2028985507,358,"Thursday","December","High","2012",403,9,6,242,131,4.043784
"97",2012-12-16,38592.1176470588,220,"Sunday","December","High","2012",406,3,10,96,137,7.3854036
"98",2012-12-17,24415,164,"Monday","December","High","2012",407,3,4,56,115,8.037704
"99",2012-12-18,1952,10,"Tuesday","December","High","2012",408,1,1,7,5,6.399237
"100",2012-12-22,12971.4117647059,48,"Saturday","December","High","2012",412,3,0,51,0,4.7121987
"101",2012-12-23,9946.82608695652,77,"Sunday","December","High","2012",413,0,7,0,84,6.2256017
"102",2012-12-24,58640.8,342,"Monday","December","High","2012",414,8,5,179,176,6.159928
"103",2012-12-26,75583.6480392157,469,"Wednesday","December","High","2012",416,6,19,141,353,4.3346972
"104",2012-12-27,95997.6434143223,456,"Thursday","December","High","2012",417,10,13,243,236,6.079158
"105",2012-12-30,108496.132907076,681,"Sunday","December","High","2012",420,11,19,228,483,3.1900592
"106",2012-12-31,46836.3902173913,303,"Monday","December","High","2012",421,5,12,61,259,2.9472733
"107",2013-01-02,52545.1333333333,318,"Wednesday","January","High","2013",423,9,7,123,211,3.5854492
"108",2013-01-03,107341.387702472,688,"Thursday","January","High","2013",424,12,23,174,549,2.12373
"109",2013-01-06,42849.1594202899,242,"Sunday","January","High","2013",427,1,9,41,211,4.121317
"110",2013-01-07,114136.575980392,614,"Monday","January","High","2013",428,13,13,335,305,5.6
"111",2013-01-08,119495.019991475,619,"Tuesday","January","High","2013",429,20,12,354,297,6.163128
"112",2013-01-09,89010.8727834612,519,"Wednesday","January","High","2013",430,8,16,200,343,5.673765
"113",2013-01-10,25576.7176470588,146,"Thursday","January","High","2013",431,6,5,72,85,5.2732334
"114",2013-01-13,62364,305,"Sunday","January","High","2013",434,5,8,112,206,3.012483
"115",2013-01-14,75711.1126172208,335,"Monday","January","High","2013",435,14,9,233,125,3.8213494
"116",2013-01-15,61505.3,346,"Tuesday","January","High","2013",436,9,10,173,192,6.8288693
"117",2013-01-16,85690,420,"Wednesday","January","High","2013",437,12,10,276,166,6.1794195
"118",2013-01-19,30200.922314578,208,"Saturday","January","High","2013",440,3,10,46,175,5.260646
"119",2013-01-20,16375.2608695652,166,"Sunday","January","High","2013",441,0,6,0,172,5.1494217
"120",2013-01-21,42464.5647058824,159,"Monday","January","High","2013",442,7,3,119,50,5.6316977
"121",2013-01-22,51327.5544117647,258,"Tuesday","January","High","2013",443,7,5,158,112,6.4849625
"122",2013-01-23,72111.673316283,430,"Wednesday","January","High","2013",444,9,16,149,306,4.739423
"123",2013-01-24,11936,51,"Thursday","January","High","2013",445,2,1,40,14,5.0483484
"124",2013-01-27,24517.6,153,"Sunday","January","High","2013",448,4,7,37,127,6.394784
"125",2013-01-28,108720.739130435,481,"Monday","January","High","2013",449,11,9,270,231,5.2317595
"126",2013-01-29,35079.5235507246,149,"Tuesday","January","High","2013",450,5,3,107,50,5.614002
"127",2013-01-31,58291.1188405797,267,"Thursday","January","High","2013",452,17,9,171,122,7.505208
"128",2013-02-04,61884.6156862745,261,"Monday","February","High","2013",456,9,2,211,61,3.1533213
"129",2013-02-06,98049.4397911338,575,"Wednesday","February","High","2013",458,8,18,224,377,3.6048744
"130",2013-02-07,77418.5449275362,425,"Thursday","February","High","2013",459,6,12,204,239,3.974756
"131",2013-02-09,4427.82608695652,38,"Saturday","February","High","2013",461,0,1,0,39,2.9153523
"132",2013-02-10,38690.375,251,"Sunday","February","High","2013",462,0,8,0,259,3.524562
"133",2013-02-11,103528.267391304,501,"Monday","February","High","2013",463,15,19,244,291,4.858943
"134",2013-02-12,93995.0144927536,472,"Tuesday","February","High","2013",464,13,12,294,203,5.9621525
"135",2013-02-13,86904.6208653026,504,"Wednesday","February","High","2013",465,10,15,227,302,6.657648
"136",2013-02-14,705,5,"Thursday","February","High","2013",466,0,1,0,6,5.4976945
"137",2013-02-19,101016.531393862,469,"Tuesday","February","High","2013",471,13,10,297,195,2.2464857
"138",2013-02-20,64118.9166879795,347,"Wednesday","February","High","2013",472,11,8,193,173,2.0971446
"139",2013-02-21,40104.0416666667,262,"Thursday","February","High","2013",473,2,13,61,216,3.324893
"140",2013-02-24,22133.1217391304,176,"Sunday","February","High","2013",476,2,11,19,170,4.375052
"141",2013-02-25,89237.7546462063,407,"Monday","February","High","2013",477,12,13,262,170,4.144537
"142",2013-02-26,18138.2495524297,130,"Tuesday","February","High","2013",478,2,7,12,127,4.539457
"143",2013-02-27,60299.7161764706,252,"Wednesday","February","High","2013",479,7,6,187,78,5.0572543
"144",2013-05-06,50081.7625319693,246,"Monday","May","Low","2013",547,7,7,125,135,11.092056
"145",2013-05-07,72916.8297101449,382,"Tuesday","May","Low","2013",548,7,15,148,256,7.2138405
"146",2013-05-08,54118.179028133,335,"Wednesday","May","Low","2013",549,6,10,129,209,6.4659424
"147",2013-05-09,21360.652173913,69,"Thursday","May","Low","2013",550,0,7,0,76,5.7214165
"148",2013-05-11,14481.6,170,"Saturday","May","Low","2013",552,0,6,0,176,7.9924307
"149",2013-05-15,21126.0434782609,197,"Wednesday","May","Low","2013",556,1,9,8,197,10.236099
"150",2013-05-16,57840.4531969309,333,"Thursday","May","Low","2013",557,4,10,82,265,8.970182
"151",2013-05-19,15524.3294970162,188,"Sunday","May","Low","2013",560,1,8,5,115,8.318249
"152",2013-05-20,26663.4333333333,157,"Monday","May","Low","2013",561,1,6,38,113,6.737908
"153",2013-05-21,18613.0702259165,179,"Tuesday","May","Low","2013",562,2,7,29,125,7.496233
"154",2013-05-22,49781.1957374254,296,"Wednesday","May","Low","2013",563,4,9,124,185,5.622527
"155",2013-05-27,12953.2231884058,128,"Monday","May","Low","2013",568,1,8,3,121,4.9899483
"156",2013-05-28,48057.5,331,"Tuesday","May","Low","2013",569,1,12,12,330,4.659478
"157",2013-05-29,2912.375,55,"Wednesday","May","Low","2013",570,0,3,0,58,4.7375503
"158",2013-06-01,14881.4117647059,132,"Saturday","June","Low","2013",573,1,3,8,103,8.288851
"159",2013-06-02,3392.70833333333,25,"Sunday","June","Low","2013",574,0,1,0,26,8.289039
"160",2013-06-03,8540.96920289855,77,"Monday","June","Low","2013",575,0,3,0,65,6.8786907
"161",2013-06-04,14714.606884058,145,"Tuesday","June","Low","2013",576,0,10,0,130,4.383418
"162",2013-06-05,5246.52173913043,76,"Wednesday","June","Low","2013",577,0,3,0,66,4.9116917
"163",2013-06-10,0,79,"Monday","June","Low","2013",582,0,0,0,0,5.2689853
"164",2013-06-11,22049.9166666667,311,"Tuesday","June","Low","2013",583,0,10,0,269,6.8537784
"165",2013-06-12,6499.34782608696,90,"Wednesday","June","Low","2013",584,0,4,0,92,8.514118
"166",2013-06-15,2959,26,"Saturday","June","Low","2013",587,0,4,0,28,11.138502
"167",2013-06-16,12785.8333333333,172,"Sunday","June","Low","2013",588,0,8,0,130,8.215745
"168",2013-06-17,14276,84,"Monday","June","Low","2013",589,0,3,0,87,6.2437677
"169",2013-06-18,39109.7311594203,220,"Tuesday","June","Low","2013",590,2,9,68,163,5.921939
"170",2013-06-19,25959.2695652174,182,"Wednesday","June","Low","2013",591,0,8,0,190,6.28154
"171",2013-06-21,7588.91304347826,58,"Friday","June","Low","2013",593,0,4,0,62,5.4965296
"172",2013-06-23,19691.4705882353,141,"Sunday","June","Low","2013",595,2,3,33,88,5.547325
"173",2013-06-24,5358,97,"Monday","June","Low","2013",596,0,1,0,39,6.01134
"174",2013-07-01,14428.5561594203,114,"Monday","July","Low","2013",603,0,4,0,105,5.7791004
"175",2013-10-07,51577.8579710145,314,"Monday","October","High","2013",701,8,9,94,198,5.4311
"176",2013-10-08,74821.0147058823,631,"Tuesday","October","High","2013",702,3,20,68,546,3.6263192
"177",2013-10-09,47731.487745098,225,"Wednesday","October","High","2013",703,4,10,46,193,3.5789142
"178",2013-10-13,49412.4705882353,196,"Sunday","October","High","2013",707,9,2,166,41,7.3081245
"179",2013-10-14,35319,163,"Monday","October","High","2013",708,3,3,86,83,8.424575
